Year,January,February,March,April,May,June,July,August,September,October,November,December,Average
2012,3.7,10.8,9,8.8,14.5,16.5,16.4,13.7,13,9.2,7.7,11.5,11.2
2013,7.3,7.9,4.1,7.6,12.9,11.7,11.9,13.4,7.5,10.2,13.1,7.2,9.6
2014,17.3,7.8,5.1,16.4,7.5,9.9,22.5,10.4,16.1,7.5,5.9,13.1,11.6
2015,6.5,7.1,5.1,5.5,4,18.6,4.4,9.9,16.9,6.2,7.9,4.6,8
2016,2.6,2.6,2.7,9.9,3.6,16.3,8.3,8.2,14.2,17.3,16.4,7.1,9.1
2017,13.3,15,18.3,5.5,12.6,15.5,23.2,13,18.9,14,9.6,17.9,14.7
2018,8.4,9,2.8,8.3,10.9,11.6,16.2,4.5,7.4,14.1,15.9,12.4,10.1
2019,9.8,3.5,6.2,6.9,6.8,16.3,15,18.9,8.7,13.9,11.3,9.9,10.6
2020,2,10.5,4.7,10.7,24.2,14.2,10.1,22.1,7.3,20.1,10,15.8,12.6
2021,10.4,14.2,8.8,21,21.1,9.9,13.6,13.7,19.3,27.6,8,17.4,15.4
